Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Region_Asia,Region_Central America and Caribbean,Region_European Union,Region_Middle East,Region_North America,Region_Oceania,Region_Rest of Europe,Region_South America
2011,19.5,21.8,174.802,5.79,90,83,27.1,91,90,1.4918246976412703,9.799625913002037,0.85015092936961,5.9,6.2,10.8,0,1,0,1,0,0,0,0,0,0
2001,8.4,9.6,118.2535,4.11,92,86,24.8,92,91,1.0832870676749586,7.97728198675515,1.5602476682433286,3.2,3.2,7.1,0,1,0,0,0,0,0,0,1,0
2009,3.7,4.5,84.168,10.1,97,83,25.9,98,98,1.0832870676749586,10.571983369654944,2.468099531471619,0.9,0.9,11.1,1,0,0,0,1,0,0,0,0,0
2014,17.3,20.2,150.6365,3.54,98,83,27.1,99,98,1.1162780704588713,7.592366128519796,1.965712776351493,1.8,1.7,6.5,0,1,0,1,0,0,0,0,0,0
2015,27.3,31.8,175.654,3.34,89,61,22.1,92,89,1.1051709180756477,7.059617628291383,2.804571768092832,1.9,1.9,4.7,0,1,1,0,0,0,0,0,0,0
2002,8.3,9.8,104.85,6.06,94,96,26.8,97,97,1.1502737988572274,9.09504174761272,2.8142103969306005,1.0,1.0,9.2,0,1,0,0,0,0,0,0,0,1
2012,94.5,136.2,453.1605,1.96,47,64,22.6,47,47,4.903748928326623,6.3578422665081,1.6937790608678513,8.7,8.6,3.8,0,1,0,0,0,0,0,0,0,0
2002,8.2,9.3,115.273,4.08,92,90,24.9,86,80,1.0832870676749586,8.025516386489008,1.5602476682433286,3.1,3.1,7.2,0,1,0,0,0,0,0,0,1,0
2002,80.9,102.4,185.0715,0.014,64,33,22.7,64,68,1.1388283833246218,6.947937068614969,5.014295254927743,21.8,22.2,3.8,0,1,1,0,0,0,0,0,0,0
2000,51.7,68.1,222.442,0.56,90,35,28.7,90,90,1.1853048513203654,7.349230824613334,0.0769610411361284,0.2,0.2,6.8,0,1,0,0,0,0,0,1,0,0
2013,15.8,18.4,112.171,0.35,98,98,28.8,98,98,1.1388283833246218,8.360773272144936,2.253394848803274,3.9,3.9,9.9,0,1,0,0,0,1,0,0,0,0
2007,5.6,7.3,224.272,13.91,91,99,26.2,90,95,1.2092495976572515,8.452334619067742,2.3570732782781154,2.2,2.3,10.6,0,1,0,0,0,0,0,0,1,0
2002,7.9,9.8,101.907,0.12,99,96,25.5,99,94,1.1051709180756477,10.461044078789724,0.30010459245033816,6.7,6.1,8.4,0,1,1,0,0,0,0,0,0,0
2005,58.5,93.9,395.016,5.74,90,64,22.5,91,90,30.265244259400085,6.541029999189903,3.6750340472918834,7.7,7.6,4.8,0,1,0,0,0,0,0,0,0,0
2015,34.9,43.5,177.9465,3.0,87,69,21.7,86,87,1.0618365465453596,7.382124365737512,7.178659893694607,26.7,27.3,6.3,0,1,1,0,0,0,0,0,0,0
2002,43.6,74.7,494.617,1.99,83,64,23.1,78,77,30031.436640212873,8.074649075066652,1.0473189942805592,14.7,14.8,5.8,0,1,0,0,0,0,0,0,0,0
2008,18.3,21.4,200.807,2.59,98,79,26.9,98,98,1.2840254166877414,8.121183242078828,1.9643112344262046,1.8,1.7,6.4,0,1,0,1,0,0,0,0,0,0
2015,14.8,17.2,91.343,1.5,98,98,26.3,98,98,1.0408107741923882,8.317766166719343,2.4997952622817508,6.5,6.4,7.0,0,1,0,0,0,0,0,0,0,0
2010,9.8,11.4,120.153,2.31,99,99,22.5,99,99,1.010050167084168,7.989899374942939,3.056827372913802,15.3,15.3,10.8,0,1,1,0,0,0,0,0,0,0
2007,48.2,79.4,229.0005,0.34,94,33,22.6,93,94,1.4333294145603401,7.0326242610280065,2.540814281726296,11.0,1.9,2.4,0,1,0,0,0,0,0,0,0,0
2015,3.0,3.7,64.6875,11.6,93,88,25.5,93,93,1.0832870676749586,10.696412192459125,2.265921108622454,1.9,2.1,12.1,1,0,0,0,1,0,0,0,0,0
2000,5.5,7.2,109.6325,12.77,58,48,25.5,96,96,1.2460767305873808,9.841399360222706,2.4239173781615704,0.8,0.6,6.8,1,0,0,0,1,0,0,0,0,0
2012,21.7,24.4,147.7405,1.95,99,99,26.3,99,99,1.1502737988572274,7.764720544771477,3.4265401893339504,3.0,3.1,11.1,0,1,1,0,0,0,0,0,0,0
2002,19.0,22.4,217.6345,2.27,99,82,26.4,94,93,1.030454533953517,8.366835309827675,0.5988365010887039,4.2,3.9,9.4,0,1,0,0,0,0,0,1,0,0
2001,57.2,69.3,166.736,0.5,50,65,25.6,77,77,1.1735108709918103,7.38770923908104,2.209372711271867,3.1,3.1,10.6,0,1,1,0,0,0,0,0,0,0
2006,3.9,4.7,78.393,12.58,83,61,25.3,83,83,1.0832870676749586,10.657188764185747,2.2267833795777636,1.7,1.9,10.1,1,0,0,0,1,0,0,0,0,0
2004,51.8,68.3,156.4125,0.004,75,63,20.5,88,99,1.010050167084168,6.598509028614515,4.927181218763463,2.1,2.7,4.5,0,1,1,0,0,0,0,0,0,0
2005,39.4,70.6,497.9455,1.97,83,64,23.4,86,86,4675.072735511784,8.211211361793023,1.0784095813505903,13.1,13.1,6.0,0,1,0,0,0,0,0,0,0,0
2007,19.7,23.1,129.9335,0.023,97,65,25.6,98,99,1.1502737988572274,8.576593534697684,4.281377226523952,7.5,7.8,8.9,0,1,0,0,0,1,0,0,0,0
2006,20.2,23.8,206.0165,2.67,96,89,26.7,96,96,1.3231298123374369,8.09040229659332,1.9572739077056285,1.8,1.7,6.4,0,1,0,1,0,0,0,0,0,0
2002,10.1,12.1,97.533,4.16,94,86,26.0,94,94,1.1502737988572274,8.97979449089521,1.62924053973028,2.2,2.2,8.0,0,1,0,1,0,0,0,0,0,0
2008,50.5,75.3,263.346,1.26,93,56,23.4,92,93,2.915379499976997,7.1853870155804165,3.2011191032789417,7.5,7.4,6.6,0,1,0,0,0,0,0,0,0,0
2009,29.7,36.3,181.3355,2.03,92,83,25.9,92,92,1.0941742837052104,8.18060094759445,2.70805020110221,1.3,1.3,4.6,0,1,0,1,0,0,0,0,0,0
2012,14.9,17.3,129.413,3.92,88,81,26.7,85,87,1.161834242728283,8.680331928793418,2.8015405441895487,1.3,1.2,8.1,0,1,0,0,0,0,0,0,0,1
2009,12.8,14.9,154.56,8.55,99,78,26.3,99,99,1.4918246976412703,9.00380808646717,0.10436001532424286,3.8,3.8,8.2,0,1,0,1,0,0,0,0,0,0
2007,19.2,22.6,203.491,2.73,99,86,26.8,99,99,1.3099644507332473,8.104401307921613,1.9615022438151495,1.8,1.7,5.8,0,1,0,1,0,0,0,0,0,0
2009,22.8,27.1,174.1935,1.2,92,65,25.7,90,92,1.1853048513203654,7.591357046698551,0.41871033485818504,1.2,1.2,5.0,0,1,0,0,0,0,0,1,0,0
2002,15.1,17.5,92.6345,2.06,77,28,26.5,77,77,1.0202013400267558,8.798756582859841,1.6448050562713916,4.8,4.7,7.5,0,1,0,0,0,1,0,0,0,0
2009,16.2,18.9,99.6225,1.36,99,97,25.8,99,99,1.0408107741923882,8.264105763728956,2.4449523342809676,6.3,6.3,6.4,0,1,0,0,0,0,0,0,0,0
2008,102.5,152.8,494.9685,1.73,45,64,22.2,46,45,9.776680409528904,6.175867270105761,1.6620303625532709,9.3,9.2,3.4,0,1,0,0,0,0,0,0,0,0
2010,52.4,84.2,390.2415,1.69,93,64,22.5,86,93,81.45086866496814,5.886104031450156,2.7434173449395014,6.8,6.7,4.3,0,1,0,0,0,0,0,0,0,0
2008,43.2,51.3,202.626,1.35,91,49,21.4,91,91,1.2460767305873808,6.7661917146603505,2.700018029404946,11.2,11.4,3.9,0,1,1,0,0,0,0,0,0,0
2008,23.1,27.5,135.0125,4.25,98,96,24.1,99,99,1.3099644507332473,8.03268487596762,0.3920420877760237,7.8,7.8,4.8,0,1,0,0,0,0,0,0,0,0
2010,12.9,14.5,124.1055,8.15,94,94,27.1,95,94,1.1502737988572274,9.514289416891836,3.732657076459824,1.0,0.9,9.8,0,1,0,0,0,0,0,0,0,1
2014,15.7,17.4,155.902,7.12,98,83,27.0,97,98,1.4918246976412703,8.857941984804711,0.10436001532424286,3.5,3.4,8.6,0,1,0,1,0,0,0,0,0,0
2014,8.6,10.4,89.377,0.67,99,96,26.9,99,99,1.1051709180756477,10.363440845928363,0.34358970439007686,5.7,5.2,9.0,0,1,1,0,0,0,0,0,0,0
2004,50.8,81.0,431.137,0.69,73,28,22.3,73,73,31.500392308747937,7.057036981697891,3.6011405398059297,8.7,8.6,5.7,0,1,0,0,0,0,0,0,0,0
2013,55.3,73.7,249.5855,2.85,68,83,25.0,64,68,2.1382762204968184,7.221105098182496,2.4336133554004498,3.9,3.9,5.0,0,1,0,1,0,0,0,0,0,0
2003,104.4,172.7,347.234,0.0,42,64,22.3,40,40,1.1388283833246218,5.313205979041787,2.3813962734183356,7.7,7.5,2.1,0,1,0,0,0,0,0,0,0,0
2005,7.7,8.9,142.495,9.27,65,98,25.5,98,98,1.010050167084168,8.39072252736229,2.132982308607866,2.5,2.6,10.2,0,1,0,0,0,0,0,0,1,0
2001,8.2,9.6,185.7405,13.18,88,99,26.0,99,99,1.0832870676749586,9.143986871426161,2.4150205223238337,2.2,2.2,10.3,1,0,0,0,1,0,0,0,0,0
2005,21.0,23.6,175.9835,4.36,79,87,26.3,82,82,1.0725081812542165,7.754052639035757,1.589235205116581,2.8,2.9,12.1,0,1,0,0,0,0,0,0,1,0
2015,54.4,72.3,227.2735,0.14,91,64,24.3,92,91,1.010050167084168,7.126087273299125,0.5766133643039938,6.7,6.5,4.8,0,1,0,0,0,0,0,0,0,0
2009,3.1,4.3,86.8955,12.66,51,67,25.0,98,98,1.1051709180756477,10.466867675037008,4.1852511209097765,0.6,0.6,10.8,1,0,0,0,1,0,0,0,0,0
2003,79.8,127.4,280.0665,1.46,73,83,22.4,75,73,2.4108997064172097,6.8501261661455,2.1424163408412245,9.1,9.0,2.7,0,1,0,0,0,0,0,0,0,0
2005,51.7,93.1,670.279,2.17,65,64,23.5,69,68,9897.129058743909,7.037027614686276,2.5710843460290524,9.0,9.0,6.8,0,1,0,0,0,0,0,0,0,0
2006,9.8,11.2,95.22,4.19,88,86,26.4,89,89,1.1735108709918103,9.117237753713859,1.6770965609079151,2.0,1.9,7.9,0,1,0,1,0,0,0,0,0,0
2009,40.4,59.9,302.9805,1.17,88,28,22.8,89,88,9.115716393040305,7.140453043101158,3.735285826928092,8.2,8.1,6.1,0,1,0,0,0,0,0,0,0,0
2013,97.7,141.2,406.0525,3.12,92,60,22.6,92,92,2.585709659315846,6.608000625296087,2.061786606441115,7.7,7.6,3.3,0,1,0,0,0,0,0,0,0,0
2015,7.5,8.8,58.1365,0.0,99,96,29.5,99,99,1.1388283833246218,10.304643389056194,1.5769147207285403,3.5,3.4,7.1,0,1,0,0,0,1,0,0,0,0
2014,8.4,9.8,203.08,7.58,22,57,26.5,45,23,1.2712491503214047,7.760893195851024,3.8344938029189084,2.3,2.4,11.3,0,1,0,0,0,0,0,0,1,0
2008,3.8,4.4,73.6315,12.18,95,86,27.0,93,93,1.0725081812542165,10.78549735043341,1.7029282555214393,0.3,0.2,12.0,1,0,0,0,1,0,0,0,0,0
2005,24.9,29.9,177.622,3.65,86,83,26.3,87,86,1.1388283833246218,7.3613754289773485,1.8625285401162623,2.0,1.9,5.5,0,1,0,1,0,0,0,0,0,0
2005,22.0,24.8,168.2965,6.76,98,61,25.3,99,99,1.2840254166877414,8.902863672196222,5.231803562489697,3.2,3.1,6.3,0,1,0,0,0,0,0,0,0,1
2002,26.8,32.3,166.295,4.81,89,55,25.1,87,87,1.1972173631218102,8.223090551161533,1.8764069432883397,2.4,2.3,6.5,0,1,0,0,0,0,0,0,0,1
2003,71.7,99.6,267.1495,0.26,71,64,23.1,80,80,1.0202013400267558,7.076653815443951,0.4574248470388755,7.6,7.6,3.0,0,1,0,0,0,0,0,0,0,0
2014,9.7,10.9,158.8825,6.49,91,87,27.3,91,91,1.1502737988572274,8.269756947532983,1.551808799597464,2.7,2.8,12.6,0,1,0,0,0,0,0,0,1,0
2014,11.9,13.8,107.701,1.39,96,65,27.7,96,96,1.0832870676749586,9.263975921142093,4.359653205696989,4.9,4.7,7.6,0,1,0,0,0,1,0,0,0,0
2012,31.0,38.0,220.149,0.32,97,90,23.5,97,97,1.1502737988572274,7.8160138391590275,0.5306282510621704,16.1,16.7,2.5,0,1,1,0,0,0,0,0,0,0
2014,40.1,50.2,269.3405,6.04,95,85,24.3,96,95,365.0374678653289,8.83884181343129,1.128171090909654,6.7,6.4,9.2,0,1,0,0,0,0,0,0,0,0
2001,27.8,34.1,109.9355,2.81,65,89,22.5,86,86,1.1051709180756477,7.766840537085513,7.149013759721518,5.7,5.0,6.5,0,1,1,0,0,0,0,0,0,0
2007,67.6,83.6,292.992,0.45,88,82,23.8,88,88,1.7332530178673953,6.960347729101308,0.5933268452777344,5.8,5.7,3.9,0,1,0,0,0,0,0,0,0,0
2013,17.8,22.2,127.4215,2.68,59,65,21.5,93,59,1.1388283833246218,7.7475968386928855,4.51906748693468,14.3,14.9,7.9,0,1,1,0,0,0,0,0,0,0
2009,47.0,69.6,259.5265,7.3,97,87,21.6,93,97,2.9742740725630656,6.352629396319567,2.377692565480851,6.6,6.4,3.3,0,1,0,0,0,0,0,0,0,0
2002,14.4,16.6,166.862,3.91,88,80,24.6,88,88,3.3201169227365472,8.652947112393857,0.7884573603642703,7.9,7.9,6.6,0,1,0,0,0,0,0,0,0,0
2015,16.7,19.5,125.149,4.54,96,95,24.5,93,93,1.2969300866657718,8.020927718981577,0.41871033485818504,6.6,6.6,5.9,0,1,0,0,0,0,0,0,0,0
2007,17.2,20.2,152.8845,4.54,93,93,25.4,93,93,1.2336780599567432,8.495152060539358,3.8008679560619836,2.3,2.1,7.2,0,1,0,0,0,0,0,0,0,1
2014,19.0,21.4,138.0705,9.18,99,83,29.6,99,99,1.4918246976412703,9.238052810542719,0.16551443847757333,4.3,4.3,8.7,0,1,0,1,0,0,0,0,0,0
2013,2.8,3.5,59.454,8.55,95,91,26.0,96,96,1.0941742837052104,10.100779820259904,3.8632528410587166,0.6,0.5,9.5,1,0,0,0,1,0,0,0,0,0
2005,5.8,6.7,112.169,10.72,96,98,26.1,96,96,1.0202013400267558,9.34145634983372,1.6695918352538475,1.8,1.8,9.7,1,0,0,0,1,0,0,0,0,0
2001,8.2,10.3,210.133,10.2,95,96,26.0,97,95,1.1274968515793757,8.83927669058535,1.4973884086254776,3.3,3.3,10.9,1,0,0,0,1,0,0,0,0,0
2002,96.8,177.1,413.041,0.4,27,64,21.1,31,25,3.3534846525490236,6.045005314036012,2.3045830956567186,11.1,11.0,1.4,0,1,0,0,0,0,0,0,0,0
2002,51.2,79.6,328.5085,8.29,70,64,23.9,44,45,27.938341703236507,8.944158830970403,0.8285518175661483,7.7,7.5,6.5,0,1,0,0,0,0,0,0,0,0
2009,9.3,10.7,92.9325,4.14,87,84,26.7,80,86,1.1853048513203654,9.194109358865765,1.7083778602890038,1.9,1.8,8.4,0,1,0,1,0,0,0,0,0,0
2010,5.8,7.0,121.948,10.16,99,97,26.0,99,99,1.010050167084168,9.583764265872883,1.8547342683894434,1.3,1.3,11.6,1,0,0,0,1,0,0,0,0,0
2006,30.5,37.4,249.112,4.59,98,96,24.9,98,99,1.0202013400267558,7.704361167910313,1.269760544863939,2.2,2.4,8.8,0,1,1,0,0,0,0,0,0,0
2003,38.9,49.1,260.269,1.67,98,98,24.6,98,98,1.0202013400267558,7.487173694213739,1.244154593958768,2.4,2.5,8.4,0,1,1,0,0,0,0,0,0,0
2006,17.6,20.6,184.704,6.28,98,92,28.0,98,98,2.857651118063164,8.496786381638575,0.25464221837358075,3.6,3.5,10.3,0,1,0,1,0,0,0,0,0,0
2007,37.6,60.8,500.1645,1.9,83,64,23.5,81,86,1141.387606628968,8.297294370266917,1.1019400787607843,12.0,12.0,6.1,0,1,0,0,0,0,0,0,0,0
2004,3.9,4.6,65.986,8.98,96,84,25.6,97,94,1.0941742837052104,10.408828161071545,4.072269354570243,0.5,0.5,9.1,1,0,0,0,1,0,0,0,0,0
2013,53.7,80.9,278.601,1.21,84,64,23.3,84,84,2.203396426255937,6.2878585601617845,2.0731719286662407,6.8,6.6,4.5,0,1,0,0,0,0,0,0,0,0
2003,85.5,165.3,317.0825,5.57,86,31,21.2,83,79,1.9542373206359396,6.184148890937483,2.613739521630969,1.7,1.3,1.3,0,1,0,0,0,0,0,0,0,0
